disti_item_number,maker_name,maker_knird_id,drink_name,format,size_format_id,drink_cost,drink_price,distributor_id,disti_item_number,disti_upc,min_quantity,regular_case_cost,current_case_cost,,,,,,,,,,
94005,AleSmith,4,San Diego Pale Ale .394,12oz cans,1, 1.75 , 2.54 ,5,94005,7-04256-02635-6,24,41.97,41.97,,,,,,,,,,
15052,AleSmith,4,Orange X Pale,12oz cans,1, 1.52 , 2.20 ,5,15052,8-59935-00602-7,24,36.37,36.37,,,,,,,,,,
90168,AleSmith,4,IPA,12oz cans,1, 1.75 , 2.54 ,5,90168,7-92382-35530-3,24,41.97,41.97,,,,,,,,,,
18560,AleSmith,4,Spezial Pils,12oz cans,1, 1.52 , 2.20 ,5,18560,8-69879-00002-9,24,36.37,36.37,,,,,,,,,,
18512,AleSmith,4,Sublime Mexican Lager,12oz cans,1, 1.52 , 2.20 ,5,18512,8-62090-00005-2,24,36.37,36.37,,,,,,,,,,
30005,AleSmith,4,Double Red Winter Seasonal IPA,12oz bottles,2, 1.98 , 2.87 ,5,30005,8-63668-00006-1,24,47.57,47.57,,,,,,,,,,
90170,AleSmith,4,IPA,12oz bottles,2, 1.75 , 2.54 ,5,90170,7-92382-35534-1,24,41.97,41.97,,,,,,,,,,
90167,AleSmith,4,L'il Devil Belgian Pale Ale,12oz bottles,2, 1.52 , 2.20 ,5,90167,7-92382-35530-3,24,36.37,36.37,,,,,,,,,,
90201,AleSmith,4,Nut Brown,12oz bottles,2, 1.52 , 2.20 ,5,90201,7-92382-35536-5,24,36.37,36.37,,,,,,,,,,
18550,AleSmith,4,Summer DIPA,12oz bottles,2, 1.98 , 2.87 ,5,18550,8-62090-00008-3,24,47.57,47.57,,,,,,,,,,
18591,AleSmith,4,X Pale Ale,12oz bottles,2, 1.52 , 2.20 ,5,18591,8-62090-00005-2,24,36.37,36.37,,,,,,,,,,
18543,AleSmith,4,Speedway Stout,16oz cans,3, 5.59 , 8.11 ,5,18543,8-62090-00002-1,24,134.23,134.23,,,,,,,,,,
94020,AleSmith,4,Anvil ESB,22oz bottles,5, 4.19 , 6.08 ,5,94020,7-04256-02636-3,12,50.32,50.32,,,,,,,,,,
30001,AleSmith,4,Double Red Winter Seasonal IPA,22oz bottles,5, 7.69 , 11.16 ,5,30001,8-63668-00001-6,12,92.32,92.32,,,,,,,,,,
18570,AleSmith,4,X Pale Ale,22oz bottles,5, 4.19 , 6.08 ,5,18570,8-69879-00000-2,12,50.32,50.32,,,,,,,,,,
30037,AleSmith,4,IPA,22oz bottles,5, 4.90 , 7.10 ,5,30037,8-63668-00008-5,12,58.79,58.79,,,,,,,,,,
90169,AleSmith,4,My Bloody Valentine,22oz bottles,5, 4.89 , 7.10 ,5,90169,7-92382-35530-3,12,58.72,47,,,,,,,,,,
90176,AleSmith,4,Nut Brown,22oz bottles,5, 4.19 , 6.08 ,5,90176,7-92382-35530-3,12,50.32,50.32,,,,,,,,,,
18547,AleSmith,4,Summer DIPA,22oz bottles,5, 6.99 , 10.14 ,5,18547,8-69879-00003-6,12,83.88,83.88,,,,,,,,,,
17502,Alesmith,4,IPA,1/6bbl,6, 95.00 , 137.75 ,5,17502,,1,95,95,,,,,,,,,,
17668,Alesmith,4,Sublime Mexican Lager,1/6bbl,6, 95.00 , 137.75 ,5,17668,,1,95,95,,,,,,,,,,
17523,Alesmith,4,Speedway Stout,1/6bbl,6, 120.00 , 174.00 ,5,17523,,1,120,120,,,,,,,,,,
17647,Alesmith,4,San Diego Pale Ale .394,1/6bbl,6, 105.00 , 152.25 ,5,17647,,1,105,105,,,,,,,,,,
17513,Alesmith,4,Anvil ESB,1/6bbl,6, 95.00 , 137.75 ,5,17513,,1,95,95,,,,,,,,,,
17533,Alesmith,4,Decadence,1/6bbl,6, 125.00 , 181.25 ,5,17533,,1,125,125,,,,,,,,,,
17592,Alesmith,4,Double Red IPA,1/6bbl,6, 120.00 , 174.00 ,5,17592,,1,120,120,,,,,,,,,,
17566,Alesmith,4,L'il Devil Belgian Pale,1/6bbl,6, 100.00 , 145.00 ,5,17566,,1,100,100,,,,,,,,,,
17595,Alesmith,4,Robust Porter,1/6bbl,6, 100.00 , 145.00 ,5,17595,,1,100,100,,,,,,,,,,
17633,Alesmith,4,Spezial Pilsner,1/6bbl,6, 100.00 , 145.00 ,5,17633,,1,100,100,,,,,,,,,,
17625,Alesmith,4,Tart Devil,1/6bbl,6, 110.00 , 159.50 ,5,17625,,1,110,110,,,,,,,,,,
17664,Alesmith,4,Thai Speedway Stout,1/6bbl,6, 215.00 , 311.75 ,5,17664,,1,215,215,,,,,,,,,,
17669,Alesmith,4,Sublime Mexican Lager,1/2bbl,9, 205.00 , 297.25 ,5,17669,,1,205,205,,,,,,,,,,
17524,Alesmith,4,Speedway Stout,1/2bbl,9, 245.00 , 355.25 ,5,17524,,1,245,245,,,,,,,,,,
17514,Alesmith,4,Anvil ESB,1/2bbl,9, 185.00 , 268.25 ,5,17514,,1,185,185,,,,,,,,,,
17593,Alesmith,4,Double Red IPA,1/2bbl,9, 265.00 , 384.25 ,5,17593,,1,265,265,,,,,,,,,,
17503,Alesmith,4,IPA,1/2bbl,9, 205.00 , 297.25 ,5,17503,,1,205,205,,,,,,,,,,
17596,Alesmith,4,Robust Porter,1/2bbl,9, 205.00 , 297.25 ,5,17596,,1,205,205,,,,,,,,,,
17634,Alesmith,4,Spezial Pilsner,1/2bbl,9, 205.00 , 297.25 ,5,17634,,1,205,205,,,,,,,,,,
30012,AleSmith,4,Grand Cru,750ml,12, 9.09 , 13.19 ,5,30012,7-05105-99336-2,12,109.12,85,,,,,,,,,,
30017,AleSmith,4,Horny Devil,750ml,12, 9.09 , 13.19 ,5,30017,8-63668-00002-3,12,109.12,109.12,,,,,,,,,,
15000,AleSmith,4,Olde Ale,750ml,12, 10.49 , 15.22 ,5,15000,8-59935-00600-3,12,125.92,125.92,,,,,,,,,,
18500,AleSmith,4,Speedway Stout,750ml,12, 9.09 , 13.19 ,5,18500,8-62090-00001-4,12,109.12,109.12,,,,,,,,,,
94097,AleSmith,4,Decadence,750ml,12, 10.49 , 15.22 ,5,94097,7-04256-02638-7,12,125.92,99,,,,,,,,,,
18620,AleSmith,4,Wee Heavy,750ml,12, 9.09 , 13.19 ,5,18620,8-69879-00007-4,12,109.12,109.12,,,,,,,,,,
94066,AleSmith,4,Barrel Aged Speedway Stout,750ml,12, 25.20 , 36.54 ,5,94066,7-04256-02639-4,12,302.36,302.36,,,,,,,,,,
94013,AleSmith,4,Barrel Aged Old Numbskull Barley Wine,750ml,12, 25.20 , 36.54 ,5,94013,7-04256-02637-0,12,302.36,302.36,,,,,,,,,,
90214,AleSmith,4,Old Numbskull Barleywine,750ml,12, 9.09 , 13.19 ,5,90214,7-92382-35533-4,12,109.12,109.12,,,,,,,,,,
50003,Boneyard,18,RPM,1/4bbl,7, 95.00 , 137.75 ,5,50003,,1,95,95,,,,,,,,,,
50017,Boneyard,18,Hop Venom Double IPA,1/4bbl,7, 112.00 , 162.40 ,5,50017,,1,112,112,,,,,,,,,,
50028,Boneyard,18,Bonafide Pale Ale,1/4bbl,7, 90.00 , 130.50 ,5,50028,,1,90,90,,,,,,,,,,
50069,Boneyard,18,Diablo Rojo,1/4bbl,7, 90.00 , 130.50 ,5,50069,,1,90,90,,,,,,,,,,
50050,Boneyard,18,Hop-a-Wheelie,1/4bbl,7, 95.00 , 137.75 ,5,50050,,1,95,95,,,,,,,,,,
50061,Boneyard,18,Incredible Pulp,1/4bbl,7, 95.00 , 137.75 ,5,50061,,1,95,95,,,,,,,,,,
50071,Boneyard,18,Notorious Triple IPA,1/4bbl,7, 148.00 , 214.60 ,5,50071,,1,148,148,,,,,,,,,,
50029,Boneyard,18,Pabo Pils,1/4bbl,7, 90.00 , 130.50 ,5,50029,,1,90,90,,,,,,,,,,
50027,Boneyard,18,Bonafide Pale Ale,50ltr,13, 140.00 , 203.00 ,5,50027,,1,140,140,,,,,,,,,,
50033,Boneyard,18,Skin and Bones,50ltr,13, 140.00 , 203.00 ,5,50033,,1,140,140,,,,,,,,,,
50062,Boneyard,18,Incredible Pulp,50ltr,13, 148.00 , 214.60 ,5,50062,,1,148,148,,,,,,,,,,
50004,Boneyard,18,RPM IPA,50ltr,13, 148.00 , 214.60 ,5,50004,,1,148,148,,,,,,,,,,
50019,Boneyard,18,Hop Venom Double IPA,50ltr,13, 172.00 , 249.40 ,5,50019,,1,172,172,,,,,,,,,,
50064,Boneyard,18,Dominator Dopplebock,50ltr,13, 172.00 , 249.40 ,5,50064,,1,172,172,,,,,,,,,,
50051,Boneyard,18,Hop-a-Wheelie,50ltr,13, 148.00 , 214.60 ,5,50051,,1,148,148,,,,,,,,,,
50021,Boneyard,18,Notorious Triple IPA,50ltr,13, 225.00 , 326.25 ,5,50021,,1,225,225,,,,,,,,,,
50030,Boneyard,18,Pabo Pils,50ltr,13, 140.00 , 203.00 ,5,50030,,1,140,140,,,,,,,,,,
19501,Caldera,28,Lawnmower Lager,12oz cans,1, 0.82 , 1.18 ,5,19501,7-38435-17125-4,24,19.57,19.57,,,,,,,,,,
17111,Caldera,28,Amber,12oz cans,1, 1.28 , 1.86 ,5,17111,8-58845-00402-4,24,30.77,27.97,,,,,,,,,,
17132,Caldera,28,Hopportunity Knocks,12oz cans,1, 1.28 , 1.86 ,5,17132,8-58845-00408-6,24,30.77,27.97,,,,,,,,,,
